ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-6503187,Source1,2,2021-02-21 15:38:00,2021-02-21 16:56:26,26.70159459101342,-81.76015734633559,26.700834591013425,-81.76250734633561,0.154,Incident on PALM BEACH BLVD near STATE ROAD 31 Drive with caution.,Palm Beach Blvd,Fort Myers,Lee,FL,33905,US,US/Eastern,KFMY,2021-02-21 15:53:00,77.0,77.0,46.0,30.18,10.0,E,14.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-6441787,Source1,2,2021-01-26 01:30:00,2021-01-26 03:05:12,30.417092,-87.300536,30.417107,-87.30111099999998,0.034,Incident on W JACKSON ST near N 65TH AVE Drive with caution., W Jackson St,Pensacola,Escambia,FL,32506-4554,US,US/Central,KNPA,2021-01-26 05:56:00,68.0,68.0,100.0,29.83,6.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6036089,Source1,2,2021-12-03 14:45:00,2021-12-03 17:59:00,38.604998,-121.433124,38.647499,-121.374375,4.322,Stationary traffic on I-80 Bus E from Arden Way (I-80 Bus) to I-80 (Sacramento) (I-80 Bus) due to accident.,Capital City Fwy E,Sacramento,Sacramento,CA,95815,US,US/Pacific,KMCC,2021-12-03 14:50:00,54.0,54.0,94.0,29.94,1.0,S,3.0,0.0,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3508043,Source1,3,2016-07-25 08:47:06,2016-07-25 14:47:06,26.87662000000001,-80.12443,26.88977,-80.13208,1.024,At Donald Ross Rd/Exit 83 - Accident.,I-95 N,Palm Beach Gardens,Palm Beach,FL,33418,US,US/Eastern,KPBI,2016-07-25 08:53:00,84.9,,67.0,30.09,10.0,ESE,10.4,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-11013,Source2,2,2017-01-13 11:54:59,2017-01-13 12:24:22,38.648041,-121.334877,,,0.01,Accident on Winding Way at Glover Way.,Winding Way,Carmichael,Sacramento,CA,95608,US,US/Pacific,KMCC,2017-01-13 11:50:00,48.2,,66.0,30.18,10.0,NNE,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3651706,Source1,2,2023-03-24 23:20:00.000000000,2023-03-25 01:27:22.000000000,38.559866,-121.481237,38.559312,-121.481474,0.04,Accident on 24th St from W St to Broadway., X St,Sacramento,Sacramento,CA,95818-2503,US,US/Pacific,KSAC,2023-03-24 22:53:00,50.0,50.0,54.0,30.32,10.0,WNW,10.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-802231,Source2,3,2021-11-27 17:17:36,2021-11-27 18:20:49,32.90007,-96.717941,,,0.0,Lane blocked due to accident on I-635 Westbound at Exit 16 Skillman St.,Skillman St,Dallas,Dallas,TX,75243,US,US/Central,KADS,2021-11-27 17:01:00,54.0,54.0,88.0,29.36,4.0,SSE,9.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2478461,Source2,3,2018-11-25 11:20:49,2018-11-25 12:05:10,33.925068,-118.209892,,,0.0,HOV #1 lane blocked due to accident on I-105 Westbound at Exit 12 Long Beach Blvd.,Long Beach Blvd,Lynwood,Los Angeles,CA,90262,US,US/Pacific,KHHR,2018-11-25 10:53:00,70.0,,57.0,30.0,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,True,False,True,False,False,False,False,Day,Day,Day,Day
A-7673874,Source1,4,2017-10-20 08:55:52,2017-10-20 14:55:52,28.217173,-82.459325,28.196172,-82.464907,1.49,Closed at Morgan Rd - Road closed due to accident., Land O'Lakes Blvd,Land O Lakes,Pasco,FL,34639,US,US/Eastern,KVDF,2017-10-20 08:55:00,71.6,,100.0,30.14,10.0,NE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4382757,Source1,2,2022-02-03 00:28:53,2022-02-03 02:49:28,35.00899672491547,-85.23816704709415,35.016006724915464,-85.25418704709415,1.028,Incident on I-24 WB near MM 183 Drive with caution.,I-24,Chattanooga,Hamilton,TN,37411,US,US/Eastern,KCHA,2022-02-03 00:24:00,49.0,49.0,93.0,29.38,1.0,CALM,0.0,0.08,Heavy Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4021411,Source1,2,2022-12-23 23:16:00.000000000,2022-12-24 00:39:07.000000000,41.174604,-79.293339,41.17259,-79.270551,1.193,Crash on I-80 eastbound between .4 miles west of Exit 62: PA 68 - CLARION and .8 miles east of Exit 62: PA 68 - CLARION. There is a lane restriction.,I-80 E,Strattanville,Clarion,PA,16258,US,US/Eastern,KDUJ,2022-12-23 23:28:00,-5.0,-34.0,65.0,27.66,0.75,WSW,32.0,0.0,Haze / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5147027,Source1,2,2022-07-04 17:03:00,2022-07-04 17:16:30,40.852872,-73.959099,40.84999000000001,-73.94445,0.7909999999999999,Slow traffic on US-1 N - I-95 N - US-9 N from Hudson Ter (George Washington Bridge (Upper Level)/I-95) to US-9/178th St/Henry Hudson Pkwy (George Washington Bridge (Upper Level)/I-95) due to accident.,George Washington Brg,Fort Lee,Bergen,NJ,07024,US,US/Eastern,KTEB,2022-07-04 16:51:00,84.0,84.0,31.0,30.08,10.0,SW,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2459533,Source2,2,2018-11-15 06:15:47,2018-11-15 06:45:26,45.074612,-93.286736,,,0.0,Right hand shoulder blocked due to accident on MN-252 Southbound at 66th Ave.,State Highway 252,Minneapolis,Hennepin,MN,55430,US,US/Central,KMIC,2018-11-15 05:53:00,30.0,21.7,61.0,29.97,10.0,South,9.2,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-7471789,Source1,2,2019-01-29 14:44:46,2019-01-29 18:44:46,45.571619,-122.550689,45.571143,-122.549816,0.054,At I-205/Veterans Memorial Hwy - Accident.,NE Airport Way,Portland,Multnomah,OR,97220,US,US/Pacific,KPDX,2019-01-29 14:53:00,51.1,,44.0,30.05,10.0,SE,13.8,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7529146,Source1,4,2018-09-03 22:09:39,2018-09-03 22:39:05,40.75671,-73.73988,40.75544,-73.74301,0.186,Ramp closed to Cross Island Pky/Exit 30 - Road closed due to accident.,Long Island Expy W,Little Neck,Queens,NY,11362,US,US/Eastern,KLGA,2018-09-03 21:51:00,84.9,,72.0,30.2,10.0,South,9.2,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-7319602,Source1,2,2019-12-18 13:09:00,2019-12-18 14:03:46,37.991231,-122.529724,37.991231,-122.529724,0.0,At San Pedro Rd - Accident.,Redwood Hwy,San Rafael,Marin,CA,94903,US,US/Pacific,KDVO,2019-12-18 13:15:00,52.0,52.0,100.0,29.85,1.0,SE,10.0,0.0,Fog,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7295802,Source1,4,2019-12-31 07:07:18,2019-12-31 07:36:32,43.0321,-87.97052,43.03178,-87.97044,0.022,Closed at I-94/US-41 - Road closed due to accident.,State Highway 341,Milwaukee,Milwaukee,WI,53214,US,US/Central,KMWC,2019-12-31 07:00:00,25.0,12.0,69.0,28.79,10.0,WNW,15.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-2859068,Source2,2,2018-04-02 08:41:45,2018-04-02 09:11:32,35.78240200000001,-78.695633,,,0.0,Accident on Garland Dr at Chaney Rd.,Garland Dr,Raleigh,Wake,NC,27606-1907,US,US/Eastern,KRDU,2018-04-02 08:51:00,61.0,,72.0,29.96,10.0,WSW,10.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1728845,Source2,2,2019-12-20 08:53:42,2019-12-20 10:23:30,35.1455,-80.851303,,,0.0,Accident on Archdale Dr at Telfair Rd.,Archdale Dr,Charlotte,Mecklenburg,NC,28210-4653,US,US/Eastern,KCLT,2019-12-20 08:52:00,35.0,35.0,61.0,29.72,10.0,N,3.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3684218,Source1,2,2023-02-26 13:42:06,2023-02-26 16:14:24,41.887376,-87.646566,41.8946,-87.655897,0.6920000000000001,At Ohio St/Exit 50B - Accident.,I-90 W,Chicago,Cook,IL,60661,US,US/Central,KMDW,2023-02-26 13:53:00,50.0,50.0,41.0,29.29,10.0,SW,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6264111,Source1,2,2021-09-24 18:12:33,2021-09-24 20:17:51,28.567211,-81.21106999999998,28.567599,-81.207589,0.213,Slow traffic on FL-434 - FL-50 from O'Berry Hoover Rd / Oberry Hoover Rd to Orpington St due to accident., E Colonial Dr,Orlando,Orange,FL,32817-4607,US,US/Eastern,KORL,2021-09-24 17:53:00,83.0,83.0,60.0,29.84,10.0,NE,12.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2340753,Source2,2,2019-01-16 14:41:40,2019-01-16 15:11:12,35.51503,-97.503349,,,0.0,Accident on Lincoln Blvd Southbound near 42nd St.,NE 42nd St,Oklahoma City,Oklahoma,OK,73105,US,US/Central,KPWA,2019-01-16 14:53:00,46.9,,93.0,30.0,6.0,South,16.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3628071,Source1,3,2017-06-08 17:10:13,2017-06-08 23:10:13,26.36321,-80.11973,26.37312,-80.11675,0.7090000000000001,At SR-808/Glades Rd/Exit 45 - Accident.,I-95 N,Boca Raton,Palm Beach,FL,33486,US,US/Eastern,KBCT,2017-06-08 16:47:00,84.2,,66.0,29.77,10.0,WSW,18.4,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-291309,Source2,2,2016-10-16 14:10:30,2016-10-16 14:40:15,30.364882,-97.695992,,,0.01,Accident on TX-275 Loop Lamar Blvd Northbound at Rutland Dr.,N Lamar Blvd,Austin,Travis,TX,78753-4107,US,US/Central,KATT,2016-10-16 13:51:00,90.0,,46.0,29.92,10.0,SSW,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-6002153,Source1,2,2021-09-16 18:26:30,2021-09-16 20:37:12,25.703314,-80.290734,25.704329,-80.29042199999998,0.073,Stationary traffic on US-1 N - FL-986 - FL-5 from SW 73rd St to SW 59th Pl due to accident., SW 73rd St,South Miami,Miami-Dade,FL,33143-4619,US,US/Eastern,KMIA,2021-09-16 18:53:00,83.0,83.0,72.0,29.98,10.0,NW,7.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2800598,Source3,2,2018-05-03 13:58:35,2018-05-03 14:58:21,27.298801,-82.464508,,,0.0,Accident on Bee Ridge Rd at Honore Ave.,Bee Ridge Rd,Sarasota,Sarasota,FL,34233,US,US/Eastern,KSRQ,2018-05-03 13:53:00,86.0,,38.0,30.15,10.0,ESE,5.8,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-5516427,Source1,2,2021-07-01 08:54:00,2021-07-01 10:57:41,33.931025,-118.324601,33.930455,-118.326548,0.118,Slow traffic from Ardath Ave to I-105 W due to accident., W Imperial Hwy,Inglewood,Los Angeles,CA,90303-1857,US,US/Pacific,KHHR,2021-07-01 08:53:00,68.0,68.0,73.0,29.89,8.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6603331,Source1,2,2020-10-27 21:01:00,2020-10-27 22:16:07,30.578523,-87.438865,30.581643,-87.496245,3.42,Incident on I-10 WB near MM 1 Drive with caution.,I-10 W,Robertsdale,Baldwin,AL,36567,US,US/Central,KNBJ,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2833133,Source2,2,2018-05-18 12:32:21,2018-05-18 13:01:58,41.235592,-96.183731,,,0.0,Accident on 171st Ct at Lakeside Hills Plz.,Lakeside Hills Plz,Omaha,Douglas,NE,68130-5600,US,US/Central,KMLE,2018-05-18 12:35:00,80.1,,49.0,29.96,10.0,West,21.9,,Overcast,False,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5729075,Source1,4,2021-03-09 18:35:30,2021-03-10 00:42:57,39.460194,-77.396862,39.460456,-77.39965,0.15,Closed road from Waterside Dr to Catoctin Mountain Hwy due to accident.,Monocacy Blvd,Frederick,Frederick,MD,21701,US,US/Eastern,KFDK,2021-03-09 18:47:00,57.0,57.0,38.0,30.03,10.0,CALM,0.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
